"Region","PHI","Barangay","Disease","No. of Cases","MW"
"XI","CITY OF DAVAO","BUHANGIN (POB.)","Severe Acute Respiratory Infection (SARI)","12","16"
"XI","CITY OF DAVAO","TIBUNGCO","Severe Acute Respiratory Infection (SARI)","8","16"
"XI","CITY OF DAVAO","BUCANA","Severe Acute Respiratory Infection (SARI)","8","16"
"XI","CITY OF DAVAO","CATALUNAN PEQUEÑO","Severe Acute Respiratory Infection (SARI)","8","16"
"XI","CITY OF DAVAO","BUNAWAN (POB.)","Severe Acute Respiratory Infection (SARI)","8","16"
"XI","CITY OF DAVAO","SASA","Severe Acute Respiratory Infection (SARI)","7","16"
"XI","CITY OF DAVAO","COMMUNAL","Severe Acute Respiratory Infection (SARI)","7","16"
"XI","CITY OF DAVAO","TALOMO (POB.)","Severe Acute Respiratory Infection (SARI)","7","16"
"XI","CITY OF DAVAO","MATINA CROSSING","Severe Acute Respiratory Infection (SARI)","6","16"
"XI","DAVAO DEL NORTE","NEW VISAYAS","Severe Acute Respiratory Infection (SARI)","6","16"
"XI","CITY OF DAVAO","CABANTIAN","Severe Acute Respiratory Infection (SARI)","5","16"
"XI","CITY OF DAVAO","MATINA APLAYA","Severe Acute Respiratory Infection (SARI)","5","16"
"XI","CITY OF DAVAO","MA-A","Severe Acute Respiratory Infection (SARI)","5","16"
"XI","DAVAO DEL NORTE","GREDU (POB.)","Severe Acute Respiratory Infection (SARI)","5","16"
"XI","DAVAO DEL NORTE","SAN FRANCISCO (POB.)","Severe Acute Respiratory Infection (SARI)","4","16"
"XI","DAVAO DEL NORTE","J.P. LAUREL","Severe Acute Respiratory Infection (SARI)","4","16"
"XI","CITY OF DAVAO","AGDAO","Severe Acute Respiratory Infection (SARI)","3","16"
"XI","CITY OF DAVAO","TORIL (POB.)","Severe Acute Respiratory Infection (SARI)","3","16"
"XI","CITY OF DAVAO","PAQUIBATO (POB.)","Severe Acute Respiratory Infection (SARI)","3","16"
"XI","CITY OF DAVAO","CATALUNAN GRANDE","Severe Acute Respiratory Infection (SARI)","3","16"
"XI","CITY OF DAVAO","WILFREDO AQUINO","Severe Acute Respiratory Infection (SARI)","3","16"
"XI","CITY OF DAVAO","PANACAN","Severe Acute Respiratory Infection (SARI)","3","16"
"XI","CITY OF DAVAO","ILANG","Severe Acute Respiratory Infection (SARI)","3","16"
"XI","CITY OF DAVAO","ALEJANDRA NAVARRO (LASANG)","Severe Acute Respiratory Infection (SARI)","3","16"
"XI","CITY OF DAVAO","BARANGAY 5-A (POB.)","Severe Acute Respiratory Infection (SARI)","3","16"
"XI","DAVAO DEL NORTE","A. O. FLOIRENDO","Severe Acute Respiratory Infection (SARI)","3","16"
"XI","DAVAO DEL NORTE","CAGANGOHAN","Severe Acute Respiratory Infection (SARI)","3","16"
